question,ground_truth,major,document_source,question_type,,
Apa kegunaan dari UNIQUE constraint?,"Digunakan untuk memastikan tidak ada nilai duplikat yang dapat dimasukkan ke dalam satu kolom atau kombinasi kolom tertentu yang bukan bagian dari PRIMARY KEY. Constraint ini secara otomatis membuat indeks yang menjamin tidak ada dua baris dalam tabel yang memiliki nilai sama pada kolom yang berpartisipasi dalam indeks tersebut, namun tetap mengizinkan penyisipan satu nilai NULL pada kolom tersebut apabila kolom itu mengizinkan NULL.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012,Deskriptif,,
Apa saja kelebihan incremental delivery?,"Perubahan dari customer dapat diserahkan lebih awal, Membantu memperoleh kebutuhan untuk perubahan selanjutnya, Risiko lebih rendah dari kegagalan proyek secara keseluruhan, dan Layanan sistem dengan prioritas tertinggi cenderung menerima paling banyak pengujian",Rekayasa Perangkat Lunak,TM-03 Aktivitas Pada Proses Perangkat Lunak (2),Deskriptif,,
apa itu penjadwalan proses?,Aktivitas manajer proses yang menangani penghapusan proses yang berjalan dari CPU dan pemilihan proses lain berdasarkan strategi tertentu dan merupakan bagian penting dari sistem operasi Multiprogramming. Sistem operasi semacam itu memungkinkan lebih dari satu proses untuk dimuat ke dalam memori yang dapat dieksekusi pada suatu waktu dan proses yang dimuat berbagi CPU menggunakan penggandaan waktu.,Sistem Operasi,ALGORITMA PENJADWALAN PROSES1,Deskriptif,,
Apa fungsi utama dari Scalar Function pada SQL Server?,"Fungsi utama Scalar Function adalah mengolah masukan dan mengembalikan satu nilai tunggal (single value) dengan tipe data tertentu seperti INT, VARCHAR, atau DATE.",Basis Data 2 Praktikum AA,UDF Skalar dalam SQL Server 2012,Deskriptif,,
Apa CPMK-1 mata kuliah Basis Data 2?,Mahasiswa mampu menganalisa dan merancang basisdata,Basis Data 2,ISB_212_Basisdata2_RPS (1),Deskriptif,,
Berapa bobot dari CPL 6 Sistem Operasi?,14%,Sistem Operasi,RPS ISB-208 Sistem_operasi_revisi,Deskriptif,,
Apa indikator penilaian dari SubCPMK-1 struktur data ?,"Ketepatan menjelaskan konsep ADT, Ketepatan menerapkan 
konsep Array, Ketepatan menerapkan konsep Hash, Kebenaran sintaks kode program ",Struktur Data,RPS ISB-204 Struktur Data,Deskriptif,,
Apa itu The Capability Maturity Model Integration (CMMI)?,"Model kematangan (maturity model) populer yang dikembangkan oleh Software Engineering Institute (SEI) di Carnegie Mellon University. CMMI merupakan Sebuah pendekatan peningkatan proses yang memberikan elemen-elemen esensial dari proses yang efektif kepada suatu organisasi. Pendekatan ini dapat digunakan untuk memandu peningkatan proses pada lingkup proyek, divisi, atau di seluruh jajaran organisasi. CMMI membantu mengintegrasikan fungsi-fungsi organisasi yang secara tradisional terpisah, menetapkan tujuan dan prioritas peningkatan proses, memberikan panduan untuk menciptakan proses yang berkualitas, serta menyediakan titik acuan untuk mengevaluasi proses yang berjalan saat ini.",Manajemen Proyek Sistem Informasi,Kathy Schwalbe - Information Technology Project Management-Cengage (2019),Deskriptif,,
Apa itu requirements traceability matrix (RTM)?,"sebuah tabel yang mencantumkan daftar persyaratan, berbagai atributnya, dan status dari persyaratan tersebut untuk memastikan bahwa seluruh persyaratan telah ditangani. Tujuan utama dari RTM adalah untuk memelihara keterkaitan mulai dari sumber setiap persyaratan, melalui proses dekomposisinya, hingga tahap implementasi dan validasi.",Manajemen Proyek Sistem Informasi,Kathy Schwalbe - Project Scope Management,Deskriptif,,
Informasi apa saja yang biasanya dimuat di dalam sebuah requirements management plan?,"Informasi yang biasanya dimuat di dalam sebuah requirements management plan meliputi cara merencanakan, melacak, dan melaporkan aktivitas persyaratan, cara melaksanakan aktivitas manajemen konfigurasi, cara memprioritaskan persyaratan, cara menggunakan metrik produk, serta cara melacak dan mencatat atribut dari persyaratan.",Manajemen Proyek Sistem Informasi,Kathy Schwalbe - Project Scope Management,Deskriptif,,
