pertanyaan,jawaban,sumber,mata_kuliah,sumber_dokumen
Apa fungsi utama dari pernyataan CASE dalam SQL?,Pernyataan CASE dalam SQL berfungsi mengembalikan nilai berdasarkan kondisi yang ditentukan.,The case statement in SQL returns a value on a specified condition.,Basis Data 2,Case of while do ISA212 w5.txt
Di mana saja pernyataan CASE dapat digunakan dalam query SQL?,"CASE dapat digunakan dalam pernyataan SELECT, serta bersama klausa WHERE, ORDER BY, dan GROUP BY, bahkan pada pernyataan INSERT.","We can use a Case statement in select queries along with Where, Order By and Group By clause. It can be used in Insert statement as well.",Basis Data 2,Case of while do ISA212 w5.txt
Bagaimana sintaks dasar pernyataan CASE yang sederhana?,"Sintaks dasarnya adalah: SELECT column1, column2, CASE WHEN CONDITION THEN 'Value1' ELSE 'Value2' END AS columnX FROM Cars.","The syntax of the CASE statement is pretty straight forward: SELECT column1, column2, CASE WHEN CONDITION THEN 'Value1' ELSE 'Value2' END AS columnX FROM Cars",Basis Data 2,Case of while do ISA212 w5.txt
Apa kesamaan antara pernyataan CASE di SQL Server dengan fungsi di Excel?,Pernyataan CASE di SQL Server setara dengan pernyataan IF‑THEN di Excel.,SQL Server CASE statement is equivalent to the IF-THEN statement in Excel.,Basis Data 2,Case of while do ISA212 w5.txt
Komponen apa saja yang wajib ada dalam pernyataan CASE?,Pernyataan CASE harus memiliki setidaknya satu pasangan WHEN dan THEN.,The CASE statement consists of at least one pair of WHEN and THEN statements.,Basis Data 2,Case of while do ISA212 w5.txt
"Apakah pernyataan ELSE wajib ada dalam CASE, dan kapan dijalankan?",ELSE bersifat opsional; ia dijalankan ketika tidak ada kondisi WHEN yang terpenuhi.,The ELSE statement is optional and executes when none of the WHEN conditions return true.,Basis Data 2,Case of while do ISA212 w5.txt
Berikan contoh sintaks WHILE loop yang mencetak nilai counter dari 1 sampai 10.,"Contohnya:
DECLARE @Counter INT;
SET @Counter = 1;
WHILE ( @Counter <= 10 )
BEGIN
  PRINT 'The counter value is = ' + CONVERT(VARCHAR,@Counter);
  SET @Counter = @Counter + 1;
END","DECLARE @Counter INT SET @Counter=1 WHILE ( @Counter <= 10) BEGIN PRINT 'The counter value is = ' + CONVERT(VARCHAR,@Counter) SET @Counter = @Counter + 1 END",Basis Data 2,Case of while do ISA212 w5.txt
Mengapa contoh WHILE loop berikut menghasilkan loop tak berujung?,"Karena nilai variabel counter tidak pernah diubah di dalam loop, sehingga kondisi @Counter <= 10 selalu true.",DECLARE @Counter INT SET @Counter=1 WHILE ( @Counter <= 10) BEGIN PRINT 'Somebody stops me!' END,Basis Data 2,Case of while do ISA212 w5.txt
Bagaimana cara menggunakan pernyataan BREAK dalam WHILE loop untuk menghentikan loop setelah counter mencapai 7?,"Dengan menambahkan IF @Counter >= 7 BEGIN BREAK END di dalam loop, sehingga ketika counter ≥ 7 loop langsung berhenti.",IF @Counter >=7 BEGIN BREAK END,Basis Data 2,Case of while do ISA212 w5.txt
Jelaskan cara kerja pernyataan CONTINUE dalam contoh WHILE loop yang memfilter angka ganjil.,"Jika nilai counter ganjil ( @Counter % 2 = 1 ), maka counter ditambah 1, pernyataan CONTINUE dijalankan, dan iterasi selanjutnya dimulai tanpa mengeksekusi PRINT.",IF @Counter % 2 =1 BEGIN SET @Counter = @Counter + 1 CONTINUE END,Basis Data 2,Case of while do ISA212 w5.txt
Apa definisi constraint di SQL Server?,"Constraint di SQL Server adalah aturan dan pembatasan yang telah ditentukan sebelumnya, yang diterapkan pada satu kolom atau beberapa kolom untuk menjaga integritas, akurasi, dan keandalan data kolom tersebut.","Constraints in SQL Server are predefined rules and restrictions that are enforced in a single column or multiple columns, regarding the values allowed in the columns, to maintain the integrity, accuracy, and reliability of that column's data.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Bagaimana cara mendefinisikan constraint pada level kolom dan level tabel?,"Constraint dapat didefinisikan pada level kolom dengan menyertakannya dalam definisi kolom sehingga berlaku hanya pada kolom tersebut, atau secara independen pada level tabel sehingga dapat diterapkan pada lebih dari satu kolom dalam tabel yang sama.","Constraints in SQL Server can be defined at the column level, where it is specified as part of the column definition and will be applied to that column only, or declared independently at the table level.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Sebutkan enam jenis constraint yang umum digunakan di SQL Server.,"Enam jenis constraint yang umum dipakai di SQL Server adalah NOT NULL, UNIQUE, PRIMARY KEY, FOREIGN KEY, CHECK, dan DEFAULT.","There are six main constraints that are commonly used in SQL Server that we will describe deeply with examples within this article and the next one. These constraints are: SQL NOT NULL, UNIQUE, PRIMARY KEY, FOREIGN KEY, CHECK, DEFAULT",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Apa yang terjadi jika mencoba menambahkan constraint NOT NULL pada kolom yang sudah berisi nilai NULL?,"Perintah penambahan constraint NOT NULL akan gagal karena SQL Server terlebih dahulu memeriksa nilai‑nilai yang sudah ada; jika terdapat nilai NULL pada kolom tersebut, proses penambahan constraint akan ditolak.","You will see that the command will fail, as it will check the existing values of the Name column for NULL values first before creating the constraint, as shown in the error message below:",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Bagaimana cara mengatasi kegagalan penambahan constraint NOT NULL pada kolom yang memiliki nilai NULL?,"Sebelum menambahkan constraint NOT NULL, harus mengubah semua nilai NULL pada kolom tersebut menjadi nilai yang valid (misalnya string kosong) menggunakan pernyataan UPDATE.","To enforce the NOT NULL Constraints in SQL, we should remove all NULL values of the Name column from the table, using the UPDATE statement below, that replaces the NULL values with empty string:",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Apa perbedaan utama antara constraint UNIQUE dan PRIMARY KEY?,"Perbedaan utama terletak pada: (1) Sebuah tabel dapat memiliki banyak constraint UNIQUE, tetapi hanya satu PRIMARY KEY; (2) Constraint UNIQUE memperbolehkan satu nilai NULL, sedangkan PRIMARY KEY tidak memperbolehkan nilai NULL sama sekali.","PRIMARY KEY constraint differs from the UNIQUE constraint in that; you can create multiple UNIQUE constraints in a table, with the ability to define only one SQL PRIMARY KEY per each table. Another difference is that the UNIQUE constraint allows for one NULL value, but the PRIMARY KEY does not allow NULL values.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Apa yang terjadi ketika mencoba memasukkan nilai yang tidak ada di tabel induk ke tabel anak yang memiliki FOREIGN KEY?,"Pernyataan INSERT akan gagal karena nilai yang dimasukkan ke kolom FOREIGN KEY tidak terdapat pada kolom PRIMARY KEY tabel induk, sehingga melanggar integritas referensial.","Trying to insert the second record into the child table will fail because the ID value of 4 doesn't exist in the parent table, and due to the FOREIGN KEY constraint, you will not be able to insert an ID value to the child table that doesn't exist in the parent table:",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Sebutkan empat aksi yang dapat ditentukan pada klausa ON UPDATE atau ON DELETE pada FOREIGN KEY.,"Empat aksi tersebut adalah: NO ACTION (operasi gagal), CASCADE (perubahan atau penghapusan diterapkan ke baris anak), SET NULL (nilai kolom anak diubah menjadi NULL), dan SET DEFAULT (nilai kolom anak diubah menjadi nilai default).","NO ACTION: When the ON UPDATE or ON DELETE clauses are set to NO ACTION, the performed update or delete operation in the parent table will fail with an error. CASCADE: Setting the ON UPDATE or ON DELETE clauses to CASCADE, the same action performed on the referenced values of the parent table will be reflected to the related values in the child table. SET NULL: With this ON UPDATE and ON DELETE clauses option, if the referenced values in the parent table are deleted or modified, all related values in the child table are set to NULL value. SET DEFAULT: Using the SET DEFAULT option of the ON UPDATE and ON DELETE clauses specifies that, if the referenced values in the parent table are updated or deleted, the related values in the child table with FOREIGN KEY columns will be set to its default value.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Bagaimana cara menonaktifkan (disable) CHECK constraint pada sebuah tabel?,"CHECK constraint dapat dinonaktifkan dengan perintah ALTER TABLE … NOCHECK CONSTRAINT diikuti nama constraint, sehingga validasi tidak lagi diterapkan pada operasi INSERT atau UPDATE.","SQL Server allows you to disable the CHECK constraint for special cases, such as inserting huge amount of data without caring about meeting the constraint condition for testing purposes, or due to changing in the business logic.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Apa fungsi DEFAULT constraint dan berikan contoh penggunaannya?,"DEFAULT constraint memberikan nilai default pada kolom ketika tidak ada nilai yang disertakan dalam pernyataan INSERT; contohnya, kolom EmployeeDate didefinisikan sebagai DATETIME NOT NULL DEFAULT GETDATE() sehingga secara otomatis terisi dengan tanggal dan waktu saat baris dimasukkan.",A DEFAULT constraint is used to provide a default column value for the inserted rows if no value is specified for that column in the INSERT statement.,Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Apa judul laporan ujian akhir semester yang tercantum dalam dokumen?,LAPORAN UJIAN AKHIR SEMESTER,LAPORAN UJIAN AKHIR SEMESTER,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Pada semester dan tahun ajaran berapa laporan tersebut dibuat?,Semester Genap 2022-2023,SEMESTER GENAP 2022-2023,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Mata kuliah apa yang menjadi fokus laporan ini?,ISB 212 BASISDATA 2,ISB 212 BASISDATA 2,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Siapa dosen pengampu mata kuliah tersebut?,Mira Musrini Barmawi,Dosen : Mira Musrini Barmawi,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Berapa bab yang terdapat dalam format laporan UAS Basisdata?,"Enam bab, yaitu Bab I sampai Bab VI","BAB I
Latar Belakang
BAB II
Dasar Teori
Bab III
Studi Kasus , penjelasan dalam Bahasa Indonesia
Bab IV
Analisis
Bab V
Desain
Bab VI
Implementasi dengan DBMS ( my SQL)",Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Apa saja komponen yang harus ada pada Bab V Desain?,"Diagram Chen beserta penjelasannya, dan Diagram Crowfoot beserta penjelasannya","5.1 Diagram Chen ( beserta dengan penjelasannya)
5.2 Diagram Crowfoot ( beserta dengan penjelasannya)",Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
"Dalam implementasi dengan DBMS MySQL, berapa jenis query advanced yang harus disertakan?",Dua buah query advanced yang melibatkan minimal tiga tabel,Advanced Query : 2 buah query advanced yang melibatkan minimal 3 tabel .,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Sebutkan jenis-jenis batch programming yang harus dibuat dalam laporan ini.,"Satu batch dengan kalimat IF (kompleks) dan satu batch dengan kalimat pengulangan, dapat berupa nested loop atau loop biasa","5.3.1 satu batch dengan kalimat IF ( kompleks)
5.3.2 Satu batch dengan kalimat pengulangan , bisa dengan nested loop, atau loop biasa",Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Berapa store procedure yang harus dibuat tanpa input/output dan berapa yang harus dibuat dengan input dan output?,"Dua buah store procedure tanpa input output, dan dua buah store procedure dengan input dan output","5.4.1 dua buah store procedure tanpa input output
5.4.2 dua buah store procedure dengan input dan output",Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Apa jenis-jenis fungsi yang harus disertakan dalam laporan?,"Dua buah fungsi bernilai scalar, dua buah fungsi inline table, dan dua buah fungsi multistatement table","5.5.1 dua buah fungsi bernilai scalar ( scalar user defined function)
5.5.2 dua buah fungsi inline table ( Inline table Valued Function = ITVF)
5.5.3 dua buah fungsi multistatement table ( MSTVF)",Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Apa fungsi pernyataan IF dalam SQL Server?,Pernyataan IF digunakan untuk mengeksekusi logika pemrograman berbasis kondisi secara real‑time di SQL Server.,SQL Server provides the capability to execute real-time programming logic using SQL IF Statement.,Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana sintaks dasar pernyataan IF di SQL?,"Sintaks dasarnya adalah:
IF (Expression )
BEGIN
   -- pernyataan bila kondisi TRUE
END
ELSE
BEGIN
   -- pernyataan bila kondisi FALSE
END",IF (Expression ) BEGIN -- If the condition is TRUE then execute the following statement True Statements; END ELSE BEGIN -- If the condition is False then execute the following statement False Statements END,Basis Data 2,IF_STATEMENT_1_w4.txt
Apa yang harus dikembalikan oleh kondisi dalam pernyataan IF?,Kondisi harus mengembalikan nilai Boolean agar dapat dievaluasi.,The condition in SQL IF Statement should return a Boolean value to evaluate,Basis Data 2,IF_STATEMENT_1_w4.txt
Apakah pernyataan ELSE wajib digunakan dalam IF?,"Tidak, pernyataan ELSE bersifat opsional.",The ELSE condition is optional to use,Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana contoh penggunaan IF dengan variabel @StudentMarks untuk memeriksa nilai minimal 80?,"DECLARE @StudentMarks INT = 91;
IF @StudentMarks >= 80
   PRINT 'Passed, Congratulations!!';
ELSE
   PRINT 'Failed, Try again ';","DECLARE @StudentMarks INT= 91; IF @StudentMarks >= 80 PRINT 'Passed, Congratulations!!'; ELSE PRINT 'Failed, Try again ';",Basis Data 2,IF_STATEMENT_1_w4.txt
Mengapa pada contoh multiple IF nilai 91 dapat memenuhi kedua kondisi IF?,"Karena nilai 91 memenuhi kondisi pertama (@StudentMarks >= 90) dan juga memenuhi kondisi kedua (@StudentMarks >= 80), sehingga kedua IF dijalankan.","In this example, student marks 91% satisfy the conditions for both SQL IF statements, and it prints a message for both SQL IF statements.",Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana cara mencegah kedua IF terpenuhi dengan menambahkan rentang pada kondisi kedua?,"Gunakan rentang pada kondisi kedua, misalnya:
IF @StudentMarks >= 80 AND @StudentMarks < 90
   PRINT 'Congratulations, You are in First division list!!';","IF @StudentMarks >= 80 and @StudentMarks < 90 PRINT 'Congratulations, You are in First division list!!';",Basis Data 2,IF_STATEMENT_1_w4.txt
Apa yang terjadi jika IF tanpa ELSE dan ekspresi bernilai FALSE?,Tidak ada output yang dihasilkan karena tidak ada pernyataan ELSE yang mengeksekusi bila kondisi FALSE.,"if the expression evaluates to FALSE, it does not return any output.",Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana menulis blok IF dengan BEGIN dan END yang berisi lebih dari satu pernyataan?,"DECLARE @StudentMarks INT = 70;
IF @StudentMarks >= 90
BEGIN
   PRINT 'Congratulations, You are in Merit list!!';
   PRINT 'Second statement.'
END;
ELSE
BEGIN
   PRINT 'Failed,Try again ';
   PRINT 'Second ELSE statement'
END;","DECLARE @StudentMarks INT= 70; IF @StudentMarks >= 90 BEGIN PRINT 'Congratulations, You are in Merit list!!'; Print 'Second statement.' END; ELSE BEGIN PRINT 'Failed,Try again '; Print 'Second ELSE statement' END;",Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana cara menggunakan pernyataan SELECT dalam ekspresi Boolean pada IF?,"Pernyataan SELECT dapat digunakan dalam ekspresi Boolean, tetapi harus diletakkan di dalam tanda kurung.","We can specify a Select statement as well in a Boolean expression, but it should enclose in parentheses",Basis Data 2,IF_STATEMENT_1_w4.txt
Apa kode mata kuliah Basisdata 2 dan berapa bobot SKS‑nya?,Kode mata kuliah Basisdata 2 adalah ISB 212 dengan bobot 4 SKS.,Mata Kuliah Kode Bobot sks Semester ... Basisdata 2 ISB 212 4,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
CPL Padu mana yang dibebankan pada mata kuliah ini beserta persentasenya?,CPL 8 dengan persentase 62% dan CPL 9 dengan persentase 38%.,CPL 8: Mampu merancang dan mengimplementasi model data untuk sebuah sistem informasi (62%) CPL9: Mampu menganalisis informasi dan data menggunakan metode analisis data yang mutakhir untuk mengambil keputusan secara tepat (38%),Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Sebutkan indikator CPL 8 yang terkait dengan mata kuliah ini.,8.a Mampu mengidentifikasi dan merancang model data sesuai kebutuhan organisasi; 8.b Mampu meng‑implementasikan rancangan model data ke dalam DBMS.,"8.a Mampu mengidentifikasi dan merancang model data sesuai kebutuhan organisasi

8b. Mampu meng‑implementasikan rancangan model data ke dalam DBMS",Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Apa dua CPMK yang ditetapkan untuk mata kuliah ini?,CPMK‑1: Mahasiswa mampu menganalisa dan merancang basisdata; CPMK‑2: Mahasiswa membuat batch program dalam lingkungan DBMS.,CPMK-1 : Mahasiswa mampu menganalisa dan merancang basisdata CPMK-2 : Mahasiwa membuat bactth program dalam lingkungan DBMS,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Apa yang harus dikuasai mahasiswa pada subCPMK‑1‑2?,Mahasiswa harus mampu menggambarkan diagram Chen dan diagram CrowFoot untuk studi kasus tertentu.,subCPMK-1-2 : Mahasiswa mampu menggambarkan diagram Chen dan CrowFoot untuk studi kasus tertentu,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Berapa persentase penilaian untuk subCPMK‑3?,"SubCPMK‑3 memiliki bobot 17 % yang terdiri dari tugas terstruktur 5 %, latihan kuis 5 % dan ujian (UAS) 7 %.",sub CPMK 3 17 v tugas terstruktur (5%) Latihan Kuis(5%) Ujian Sub CPMK (UAS)(7%),Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Mata kuliah ini memiliki prasyarat apa?,Prasyaratnya adalah mata kuliah ISB 211 Basisdata 1.,Mata Kuliah Prasyarat ISB 211 Basisdata 1,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Pada tugas ke berapa mahasiswa diminta membuat stored procedure?,Mahasiswa diminta membuat stored procedure pada Tugas 4.,Tugas 4 : Stored procedure,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
