pertanyaan,jawaban,sumber,mata_kuliah,sumber_dokumen
Apa fungsi utama pernyataan CASE dalam SQL?,"CASE mengembalikan nilai berdasarkan kondisi yang ditentukan dan dapat digunakan dalam pernyataan SELECT, serta klausa WHERE, ORDER BY, GROUP BY, bahkan dalam pernyataan INSERT.","The case statement in SQL returns a value on a specified condition. We can use a Case statement in select queries along with Where, Order By and Group By clause. It can be used in Insert statement as well.",Basis Data 2,Case of while do ISA212 w5.txt
Bagaimana sintaks dasar pernyataan CASE sederhana?,Sintaks dasarnya adalah: SELECT CASE Expression WHEN expression1 THEN Result1 WHEN expression2 THEN Result2 … ELSE Result END.,SELECT CASE Expression When expression1 Then Result1 When expression2 Then Result2 ... ELSE Result END,Basis Data 2,Case of while do ISA212 w5.txt
"Pada contoh tabel Employee, bagaimana cara menampilkan gender lengkap (Male/Female) menggunakan CASE?","Dengan menulis: SELECT EmployeeName, CASE WHEN gender='F' THEN 'FEMALE' WHEN gender='M' THEN 'MALE' ELSE 'Unknown Gender' END AS gender FROM Employee.","Select EmployeeName, CASE WHEN gender ='F' THEN 'FEMALE' WHEN gender ='M' THEN 'MALE' Else 'Unknown Gender' END AS gender from Employee",Basis Data 2,Case of while do ISA212 w5.txt
Bagaimana CASE dapat digunakan bersama GROUP BY untuk menghitung jumlah kendaraan baru dan lama?,"Contohnya: SELECT CASE WHEN model > 2000 THEN 'New' ELSE 'Old' END AS condition, COUNT(1) AS count FROM Cars GROUP BY CASE WHEN model > 2000 THEN 'New' ELSE 'Old' END.","SELECT CASE WHEN model > 2000 THEN 'New' ELSE 'Old' END AS condition, COUNT(1) AS count FROM Cars GROUP BY CASE WHEN model > 2000 THEN 'New' ELSE 'Old' END",Basis Data 2,Case of while do ISA212 w5.txt
Apa perbedaan antara kondisi CASE yang tumpang tindih dan penggunaan operator logika AND?,"Jika kondisi tumpang tindih, nilai yang lebih besar dapat memenuhi beberapa WHEN sekaligus; dengan menggunakan operator AND, rentang kondisi dapat dibuat terpisah sehingga tidak terjadi tumpang tindih.","However, in the above script, the conditions are overlapping as. the model with a value greater than 2010 also has a value greater than 2000 and 1990. A better way to implement multiple conditions is to use logical operators like AND, OR, NOT, etc.",Basis Data 2,Case of while do ISA212 w5.txt
Apa sintaks dasar pernyataan WHILE dalam SQL?,Sintaks dasarnya adalah: WHILE condition BEGIN {...statements...} END.,The syntax of the WHILE loop in SQL looks like as follows: WHILE condition BEGIN {...statements...} END,Basis Data 2,Case of while do ISA212 w5.txt
"Pada contoh WHILE loop yang mencetak nilai counter 1 sampai 10, perintah apa yang digunakan untuk meningkatkan nilai counter?",Perintah yang digunakan adalah SET @Counter = @Counter + 1.,SET @Counter = @Counter + 1,Basis Data 2,Case of while do ISA212 w5.txt
Bagaimana cara menghentikan loop WHILE secara paksa menggunakan pernyataan BREAK?,"Dengan menambahkan IF kondisi kemudian BREAK di dalam loop, misalnya: IF @Counter >= 7 BEGIN BREAK END.",IF @Counter >=7 BEGIN BREAK END,Basis Data 2,Case of while do ISA212 w5.txt
Apa fungsi pernyataan CONTINUE dalam WHILE loop?,CONTINUE menghentikan sisa pernyataan pada iterasi saat ini dan langsung memulai iterasi berikutnya.,"If the variable value is odd, the code enters the IF...ELSE statement blocks and increment the value of the variable, execute the CONTINUE statement and starts a new iteration:",Basis Data 2,Case of while do ISA212 w5.txt
"Dalam contoh membaca data tabel dengan WHILE loop, bagaimana cara mengambil nilai CountryName berdasarkan Id?",Menggunakan pernyataan SELECT @CountryName = CountryName FROM SampleTable WHERE Id = @Counter.,SELECT @CountryName = CountryName FROM SampleTable WHERE Id = @Counter,Basis Data 2,Case of while do ISA212 w5.txt
Apa yang dimaksud dengan constraint dalam SQL Server?,"Constraint dalam SQL Server adalah aturan dan pembatasan yang telah ditentukan sebelumnya dan diterapkan pada satu kolom atau beberapa kolom untuk menjaga integritas, akurasi, dan keandalan data kolom tersebut.","Constraints in SQL Server are predefined rules and restrictions that are enforced in a single column or multiple columns, regarding the values allowed in the columns, to maintain the integrity, accuracy, and reliability of that column's data.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Bagaimana cara mendefinisikan constraint di SQL Server?,Constraint dapat didefinisikan pada level kolom (sebagai bagian dari definisi kolom) atau secara independen pada level tabel.,"Constraints in SQL Server can be defined at the column level, where it is specified as part of the column definition and will be applied to that column only, or declared independently at the table level.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Sebutkan enam jenis constraint yang paling umum digunakan di SQL Server.,"Enam jenis constraint yang umum dipakai adalah NOT NULL, UNIQUE, PRIMARY KEY, FOREIGN KEY, CHECK, dan DEFAULT.","There are six main constraints that are commonly used in SQL Server that we will describe deeply with examples within this article and the next one. These constraints are: SQL NOT NULL, UNIQUE, PRIMARY KEY, FOREIGN KEY, CHECK, DEFAULT",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
"Pada contoh tabel ConstraintDemo1, kolom mana yang wajib diisi dan mengapa?","Kolom ID wajib diisi karena diberi constraint NOT NULL, sehingga tidak boleh bernilai NULL.","In the ID column definition statement, the SQL NOT NULL column-level constraint is enforced, considering the ID column as a mandatory column that should be provided with a valid SQL NOT NULL value.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Mengapa perintah ALTER TABLE ConstraintDemo1 ALTER COLUMN [Name] VARCHAR(50) NOT NULL gagal?,"Perintah tersebut gagal karena sebelum menambahkan constraint NOT NULL, SQL Server memeriksa nilai yang sudah ada pada kolom Name dan menemukan adanya nilai NULL.","You will see that the command will fail, as it will check the existing values of the Name column for NULL values first before creating the constraint, as shown in the error message below:",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Apa yang harus dilakukan sebelum menambahkan constraint NOT NULL pada kolom yang berisi nilai NULL?,Harus mengubah semua nilai NULL menjadi nilai lain (misalnya string kosong) menggunakan pernyataan UPDATE.,"To enforce the NOT NULL Constraints in SQL, we should remove all NULL values of the Name column from the table, using the UPDATE statement below, that replaces the NULL values with empty string:",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Apa yang dijamin oleh constraint UNIQUE dan berapa nilai NULL yang diizinkan?,"Constraint UNIQUE menjamin tidak ada nilai duplikat yang dapat dimasukkan ke kolom atau kombinasi kolom yang bersangkutan, dan hanya mengizinkan satu nilai NULL jika kolom memperbolehkan NULL.","The UNIQUE constraint in SQL is used to ensure that no duplicate values will be inserted into a specific column or combination of columns that are participating in the UNIQUE constraint and not part of the PRIMARY KEY. ... with the ability to insert only one unique NULL value to these columns, if the column allows NULL.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Apa perbedaan utama antara PRIMARY KEY dan UNIQUE constraint?,"PRIMARY KEY hanya dapat ada satu per tabel, tidak memperbolehkan nilai NULL, dan menggabungkan sifat UNIQUE dengan NOT NULL. Sedangkan UNIQUE dapat dibuat lebih dari satu per tabel, memperbolehkan satu nilai NULL, dan tidak mengharuskan NOT NULL.","PRIMARY KEY constraint differs from the UNIQUE constraint in that; you can create multiple UNIQUE constraints in a table, with the ability to define only one SQL PRIMARY KEY per each table. Another difference is that the UNIQUE constraint allows for one NULL value, but the PRIMARY KEY does not allow NULL values.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Sebutkan empat aksi yang dapat ditentukan pada klausa ON UPDATE atau ON DELETE pada FOREIGN KEY.,"Empat aksi tersebut adalah NO ACTION, CASCADE, SET NULL, dan SET DEFAULT.","The supported actions that can be taken when deleting or updating the parent table's values include: NO ACTION, CASCADE, SET NULL, SET DEFAULT.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Bagaimana cara menonaktifkan (disable) CHECK constraint pada sebuah tabel?,"Dengan menggunakan perintah ALTER TABLE ... NOCHECK CONSTRAINT diikuti nama constraint, misalnya: ALTER TABLE ConstraintDemo4 NOCHECK CONSTRAINT CK__Constrain__Salar.","SQL Server allows you to disable the CHECK constraint for special cases, such as inserting huge amount of data without caring about meeting the constraint condition for testing purposes, or due to changing in the business logic. T ALTER TABLE ConstraintDemo4 NOCHECK CONSTRAINT CK__Constrain__Salar",Basis Data 2,CONSTRAINT IN SQL SERVER 2012.txt
Siapa dosen pengampu mata kuliah Basisdata 2 pada laporan UAS?,Mira Musrini Barmawi,Dosen : Mira Musrini Barmawi,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Pada semester berapa laporan UAS ini dibuat?,Semester Genap 2022-2023,SEMESTER GENAP 2022-2023,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Berapa jumlah bab yang terdapat dalam format laporan UAS Basisdata?,"Enam bab, yaitu Bab I sampai Bab VI","BAB I Latar Belakang BAB II Dasar Teori Bab III Studi Kasus , penjelasan dalam Bahasa Indonesia Bab IV Analisis ... Bab V Desain ... Bab VI Implementasi dengan DBMS ( my SQL)",Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Apa saja komponen yang harus ada pada Bab V Desain?,"Diagram Chen beserta penjelasannya, dan Diagram Crowfoot beserta penjelasannya",5.1 Diagram Chen ( beserta dengan penjelasannya) 5.2 Diagram Crowfoot ( beserta dengan penjelasannya),Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
"Dalam implementasi DBMS MySQL, berapa jenis query advanced yang harus disertakan?",Dua buah query advanced yang melibatkan minimal tiga tabel,Advanced Query : 2 buah query advanced yang melibatkan minimal 3 tabel .,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Apa yang harus disertakan dalam bagian Batch programming?,Satu batch dengan kalimat IF (kompleks) dan satu batch dengan kalimat pengulangan (bisa dengan nested loop atau loop biasa),"5.3.1 satu batch dengan kalimat IF ( kompleks) 5.3.2 Satu batch dengan kalimat pengulangan , bisa dengan nested loop, atau loop biasa",Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Berapa jumlah store procedure yang harus dibuat tanpa input dan output?,Dua buah store procedure tanpa input dan output,5.4.1 dua buah store procedure tanpa input output,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Sebutkan jenis-jenis fungsi yang harus dibuat dalam laporan ini.,"Dua buah fungsi scalar (scalar user defined function), dua buah fungsi inline table (Inline table Valued Function = ITVF), dan dua buah fungsi multistatement table (MSTVF)",5.5.1 dua buah fungsi bernilai scalar ( scalar user defined function) 5.5.2 dua buah fungsi inline table ( Inline table Valued Function = ITVF) 5.5.3 dua buah fungsi multistatement table ( MSTVF),Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Apa saja tipe trigger yang harus disertakan?,"Satu query yang melibatkan output clause, inserted table, dan deleted table; satu trigger for insert; satu trigger for update; dan satu trigger for delete","5.6.1 satu buah query yang melibatkan output clause , inserted table dan deleted table 5.6.2 satu buah trigger for insert 5.6.3 satu buah trigger for update 5.6.4 satu buah trigger for delete",Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Apa yang diminta pada bagian VIEW dalam laporan?,Satu view yang berisi advanced query dan satu view yang dienkripsi,5.7.1 satu buah view berisi advanced query 5.7.2 satu buah view yang dienkripsi,Basis Data 2,FORMAT LAPORAN UJIAN AKHIR ISB201 BASISDATA1.txt
Apa fungsi pernyataan IF dalam SQL Server?,Pernyataan IF digunakan untuk mengeksekusi logika pemrograman berbasis kondisi secara real‑time.,SQL Server provides the capability to execute real-time programming logic using SQL IF Statement.,Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana sintaks dasar pernyataan IF di SQL?,"Sintaks dasarnya adalah: IF (Expression) BEGIN … END ELSE BEGIN … END, di mana blok BEGIN…END berisi pernyataan yang dijalankan bila kondisi terpenuhi atau tidak.",IF (Expression ) BEGIN -- If the condition is TRUE then execute the following statement True Statements; END ELSE BEGIN -- If the condition is False then execute the following statement False Statements END,Basis Data 2,IF_STATEMENT_1_w4.txt
Apa yang harus dikembalikan oleh kondisi dalam pernyataan IF?,Kondisi harus mengembalikan nilai Boolean (TRUE atau FALSE) agar dapat dievaluasi.,The condition in SQL IF Statement should return a Boolean value to evaluate,Basis Data 2,IF_STATEMENT_1_w4.txt
Apakah pernyataan ELSE wajib digunakan dalam IF?,"Tidak, pernyataan ELSE bersifat opsional dan dapat dihilangkan jika tidak diperlukan.",The ELSE condition is optional to use,Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana contoh penggunaan IF dengan variabel @StudentMarks untuk memeriksa nilai minimal 80?,"DECLARE @StudentMarks INT = 91; IF @StudentMarks >= 80 PRINT 'Passed, Congratulations!!'; ELSE PRINT 'Failed, Try again ';","DECLARE @StudentMarks INT= 91; IF @StudentMarks >= 80 PRINT 'Passed, Congratulations!!'; ELSE PRINT 'Failed, Try again ';",Basis Data 2,IF_STATEMENT_1_w4.txt
Mengapa pada contoh multiple IF nilai 91 menghasilkan dua pesan?,"Karena kedua kondisi terpenuhi: pertama @StudentMarks >= 90 bernilai TRUE, dan kedua @StudentMarks >= 80 juga bernilai TRUE, sehingga kedua IF dijalankan.","In this example, student marks 91% satisfy the conditions for both SQL IF statements, and it prints a message for both SQL IF statements.",Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana cara mencegah kedua IF terpenuhi sekaligus dengan menambahkan rentang pada kondisi kedua?,"Gunakan rentang pada kondisi kedua, misalnya: IF @StudentMarks >= 80 AND @StudentMarks < 90.",IF @StudentMarks >= 80 and @StudentMarks < 90,Basis Data 2,IF_STATEMENT_1_w4.txt
Apa yang terjadi jika ekspresi IF bernilai FALSE dan tidak ada pernyataan ELSE?,Tidak ada output yang dihasilkan karena tidak ada pernyataan yang dijalankan.,"if the expression evaluates to FALSE, it does not return any output.",Basis Data 2,IF_STATEMENT_1_w4.txt
Bagaimana menulis blok IF dengan BEGIN dan END yang berisi lebih dari satu pernyataan?,"DECLARE @StudentMarks INT = 70; IF @StudentMarks >= 90 BEGIN PRINT 'Congratulations, You are in Merit list!!'; PRINT 'Second statement.' END; ELSE BEGIN PRINT 'Failed,Try again '; PRINT 'Second ELSE statement' END;","DECLARE @StudentMarks INT= 70; IF @StudentMarks >= 90 BEGIN PRINT 'Congratulations, You are in Merit list!!'; Print 'Second statement.' END; ELSE BEGIN PRINT 'Failed,Try again '; Print 'Second ELSE statement' END;",Basis Data 2,IF_STATEMENT_1_w4.txt
Apa perbedaan antara penggunaan IF dengan dan tanpa blok BEGIN…END?,"Tanpa BEGIN…END hanya satu pernyataan yang dapat dijalankan setelah IF, sedangkan dengan BEGIN…END dapat mengeksekusi banyak pernyataan sebagai satu blok logika.",We can use BEGIN and END statement block in a SQL IF statement.,Basis Data 2,IF_STATEMENT_1_w4.txt
Apa kode mata kuliah Basisdata 2?,ISB 212,Basisdata 2 ISB 212 4,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Berapa bobot SKS mata kuliah Basisdata 2?,4 SKS,Basisdata 2 ISB 212 4,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
CPL apa yang dibebankan pada mata kuliah ini beserta persentasenya?,CPL 8 (62 %) dan CPL 9 (38 %),"CPL 8: Mampu merancang dan mengimplementasi model data untuk sebuah sistem informasi (62%)
CPL9: Mampu menganalisis informasi dan data menggunakan metode analisis data yang mutakhir untuk mengambil keputusan secara tepat (38%)",Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Apa CPMK‑1 pada mata kuliah ini?,Mahasiswa mampu menganalisa dan merancang basisdata,CPMK-1 : Mahasiswa mampu menganalisa dan merancang basisdata,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Sebutkan dua subCPMK yang termasuk dalam CPMK‑1.,subCPMK‑1‑1: mahasiswa mampu menganalisa entitas dan relasi untuk studi kasus tertentu; subCPMK‑1‑2: Mahasiswa mampu menggambarkan diagram Chen dan CrowFoot untuk studi kasus tertentu,"subCPMK-1-1 : mahasiswa mampu menganalisa entitas dan relasi untuk studi kasus tertentu
subCPMK-1-2 : Mahasiswa mampu menggambarkan diagram Chen dan CrowFoot untuk studi kasus tertentu",Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Apa subCPMK‑2‑3?,Mahasiswa membuat fungsi dalam lingkungan DBMS,Sub CPMK -2-3 : Mahasiswa membuat fungsi dalam lingkungan DBMS,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Berapa persentase penilaian untuk subCPMK‑1?,"16 % (tugas terstruktur 5 %, latihan kuis 5 %, ujian sub CPMK (UAS) 6 %)",sub CPMK 1 16 v tugas terstruktur(5%) Latihan Kuis (5%) Ujian Sub CPMK (UAS) (6%),Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Apa saja materi pembelajaran yang termasuk dalam mata kuliah ini?,"Perancangan basisdata, Constraint, Kalimat IF, Kalimat Pengulangan, Stored Procedure, View, Function, Trigger",Bahan kajian: Perancangan basisdata Constraint Kalimat IF Kalimat Pengulangan Stored Procedure Constraint View Function Trigger,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Mata kuliah apa yang menjadi prasyarat untuk Basisdata 2?,ISB 211 Basisdata 1,Mata Kuliah Prasyarat ISB 211 Basisdata 1,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Berapa total bobot penilaian untuk subCPMK‑5?,"17 % (tugas terstruktur 5 %, latihan kuis 5 %, ujian sub CPMK (UAS) 7 %)",sub CPMK 5 17 v tugas terstruktur (5%) Latihan Kuis(5%) Ujian Sub CPMK (UAS)(7%),Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Apa nama institusi yang menyelenggarakan ujian?,INSTITUT TEKNOLOGI NASIONAL,INSTITUT TEKNOLOGI NASIONAL,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
